Key,Item Type,Author,Title,Publication Title,Publication Year,Volume,Issue,Pages,DOI,ISSN,ISBN,Url,Publisher
2PHY5J39,journalArticle,"Sun, X.; Yuan, Z.; Kong, X.; Xue, L.; Cheng, H.; Chen, Z.",An Efficient Federated Learning Framework for Enhancing Data Diversity and Communication in Industrial IoT Fault Diagnosis,IEEE Internet of Things Journal,2025,12,17,36562–36576,10.1109/JIOT.2025.3583081,,,https://www.scopus.com/pages/publications/105010606708?origin=resultslist,
34Z6ZW3P,conferencePaper,"Nguyen Duy, D.; Nikzad-Langerodi, R.; Affenzeller, M.",VFLBench: A Practical Benchmark for Vertical Federated Learning in Smart Manufacturing,,2025,15172 LNCS,,45–52,10.1007/978-3-031-82949-9_5,,,https://www.scopus.com/pages/publications/105004254871?origin=resultslist,
36MI3LMS,journalArticle,"Moe, Sa Jim Soe; Khan, Anam Nawaz; Nguyen, Anh Tuan; Kim, Do Hyeun",Optimizing Federated Learning based on Weighted Hyperparameter Aggregation in Energy-constrained Building Construction,Cluster Computing,2026,29,3,,10.1007/s10586-025-05908-7,1573-7543,,http://dx.doi.org/10.1007/s10586-025-05908-7,Springer Science and Business Media LLC
2CFTQT87,conferencePaper,"Aladwani, T.; Pantazi-Kypraiou, M.; Goudroumanis, G.R.; Axelou, O.; Floros, G.; Anagnostopoulos, C.",Decentralized Deep Learning for Lithographic Hotspot Detection in IC Design,,2025,,,469–473,10.1109/ICDCSW63273.2025.00093,,,https://www.scopus.com/pages/publications/105030464995?origin=resultslist,
2HQWFCWQ,journalArticle,"Cao, K.; Cui, Y.; Xu, R.; Sun, Y.; Liu, Z.; Tan, C.",Personalized Federated Learning for Green Industrial IoT,IEEE Transactions on Industrial Informatics,2025,21,8,6114–6125,10.1109/TII.2025.3558340,,,https://www.scopus.com/pages/publications/105004640675?origin=resultslist,
2THEEY5F,journalArticle,"Wan, Xiaole; Yang, Dongqian; Wang, Tongtong; Deveci, Muhammet",Closed-loop supply chain decision considering information reliability and security: should the supply chain adopt federated learning decision support systems?,Annals of Operations Research,2023,349,1,169–205,10.1007/s10479-023-05477-1,1572-9338,,http://dx.doi.org/10.1007/s10479-023-05477-1,Springer Science and Business Media LLC
2MA9B8KT,journalArticle,"Yang, Chun; Ma, Yining",Secure aggregation for heterogeneous enterprise data based on federated meta-learning,Scientific Reports,2026,16,1,,10.1038/s41598-025-34735-4,2045-2322,,http://dx.doi.org/10.1038/s41598-025-34735-4,Springer Science and Business Media LLC
2L7F52DC,conferencePaper,X. Cao; N. Chen; X. Yuan; Y. Liu,A Cooperative Edge Caching Approach Based on Multi-Agent Deep Reinforcement Learning,2023 26th International Conference on Computer Supported Cooperative Work in Design (CSCWD),2023,,,1772–1777,10.1109/CSCWD57460.2023.10152789,,2768-1904,,
23DV84I5,journalArticle,"Gomez, A.L.P.; Beltran, E.T.M.; Sanchez, P.M.S.; Celdran, A.H.",TemporalFED: A Software Module for Detecting Cyberattacks in Industry 4.0 Time-Series Data Using Decentralized Federated Learning,IEEE Access,2026,14,,64822–64835,10.1109/ACCESS.2026.3681545,,,https://www.scopus.com/pages/publications/105036228352?origin=resultslist,
29M56G7W,journalArticle,"Luo, W.; Yu, T.; Dai, S.; Guo, B.; Lin, X.; Pu, Y.",Semi-asynchronous energy-efficient federated prototype learning for end-edge-cloud architectures,Future Generation Computer Systems,2026,179,,,10.1016/j.future.2025.108351,,,https://www.scopus.com/pages/publications/105027136664?origin=resultslist,
2A8P6RWQ,bookSection,"Zhang, Jianjing; Cooper, Clayton; Gao, Robert X.",Federated Learning for Privacy-Preserving Collaboration in Smart Manufacturing,Manufacturing Driving Circular Economy,2023,,,845–853,10.1007/978-3-031-28839-5_94,2195-4364,978-3-031-28839-5,http://dx.doi.org/10.1007/978-3-031-28839-5_94,Springer International Publishing
2DB3E8G7,journalArticle,"Sedighi, Ali; Kou, Tianyu; Huang, Hui; Li, Yi",Noninvasive On-Skin Biosensors for Monitoring Diabetes Mellitus,Nano-Micro Letters,2025,18,1,,10.1007/s40820-025-01843-9,2150-5551,,http://dx.doi.org/10.1007/s40820-025-01843-9,Springer Science and Business Media LLC
2BLRRD82,journalArticle,"Sum, Anika Saba Ibte; Pritee, Zinniya Taffannum; Saha, Anik Kumar; Mahmud, Mirza Asif; Nur, Kamruddin",A systematic review on privacy preservation in federated learning,International Journal of Information Security,2026,25,2,,10.1007/s10207-026-01229-x,1615-5270,,http://dx.doi.org/10.1007/s10207-026-01229-x,Springer Science and Business Media LLC
2AIMXDPZ,journalArticle,"Tok, Yasin Emre; Toprak, Amine Gonca; Karahan, Sumeye Nur; Mercan, Oyku Berfin; Aydin, Hurkan Mustafa; Altintas, Mucahit",Artificial intelligence for next-generation 6G technologies and networks,Discover Networks,2026,2,1,,10.1007/s44354-026-00016-3,3004-9792,,http://dx.doi.org/10.1007/s44354-026-00016-3,Springer Science and Business Media LLC
2MTPHRVL,journalArticle,"dos Santos Oliveira, Alberth; Schäfer Tesch da Silva, Fernanda; Lopes Ferreira, Daniel; Roveda, Mateus; André da Costa, Cristiano; de Oliveira Ramos, Gabriel; da Rosa Righi, Rodrigo",Looking at anomaly detection in EdgeAI through the up-to-date lens of academic and market perspectives,Cluster Computing,2026,29,4,,10.1007/s10586-026-05954-9,1573-7543,,http://dx.doi.org/10.1007/s10586-026-05954-9,Springer Science and Business Media LLC
2GAC7ET4,journalArticle,"Alagheband, Mahdi R.; Mashatan, Atefeh","Advanced encryption schemes in multi-tier heterogeneous internet of things: taxonomy, capabilities, and objectives",The Journal of Supercomputing,2022,78,17,18777–18824,10.1007/s11227-022-04586-1,1573-0484,,http://dx.doi.org/10.1007/s11227-022-04586-1,Springer Science and Business Media LLC
2BQ7RUER,journalArticle,"Alzoubi, Yehia Ibrahim; Gill, Asif; Mishra, Alok",A systematic review of the purposes of Blockchain and fog computing integration: classification and open issues,Journal of Cloud Computing,2022,11,1,,10.1186/s13677-022-00353-y,2192-113X,,http://dx.doi.org/10.1186/s13677-022-00353-y,Springer Science and Business Media LLC
32W3PSU3,journalArticle,"You, Xiaohu; Wang, Cheng-Xiang; Huang, Jie; Gao, Xiqi; Zhang, Zaichen; Wang, Mao; Huang, Yongming; Zhang, Chuan; Jiang, Yanxiang; Wang, Jiaheng; Zhu, Min; Sheng, Bin; Wang, Dongming; Pan, Zhiwen; Zhu, Pengcheng; Yang, Yang; Liu, Zening; Zhang, Ping; Tao, Xiaofeng; Li, Shaoqian; Chen, Zhi; Ma, Xinying; I, Chih-Lin; Han, Shuangfeng; Li, Ke; Pan, Chengkang; Zheng, Zhimin; Hanzo, Lajos; Shen, Xuemin (Sherman); Guo, Yingjie Jay; Ding, Zhiguo; Haas, Harald; Tong, Wen; Zhu, Peiying; Yang, Ganghua; Wang, Jun; Larsson, Erik G.; Ngo, Hien Quoc; Hong, Wei; Wang, Haiming; Hou, Debin; Chen, Jixin; Chen, Zhe; Hao, Zhangcheng; Li, Geoffrey Ye; Tafazolli, Rahim; Gao, Yue; Poor, H. Vincent; Fettweis, Gerhard P.; Liang, Ying-Chang","Towards 6G wireless communication networks: vision, enabling technologies, and new paradigm shifts",Science China Information Sciences,2020,64,1,,10.1007/s11432-020-2955-6,1869-1919,,http://dx.doi.org/10.1007/s11432-020-2955-6,Springer Science and Business Media LLC
2NKN9IEA,journalArticle,"ZainEldin, Hanaa; Gamel, Samah A.; Talaat, Fatma M.",Mitigating cyber risks in IoT environments using ResNet50_CNN1D and Edge-IIoTset insights,Cluster Computing,2026,29,4,,10.1007/s10586-026-06114-9,1573-7543,,http://dx.doi.org/10.1007/s10586-026-06114-9,Springer Science and Business Media LLC
2HPY7AB9,journalArticle,"Zeng, Yali; Hussein, Zahraa Abed; Chyad, Mustafa Habeeb; farhadi, Amirfarhad; Yu, Jianyong; Rahbarimagham, Hesam",Integrating type-2 fuzzy logic controllers with digital twin and neural networks for advanced hydropower system management,Scientific Reports,2025,15,1,,10.1038/s41598-025-89866-5,2045-2322,,http://dx.doi.org/10.1038/s41598-025-89866-5,Springer Science and Business Media LLC
23HY5X6N,journalArticle,"Zhao, Xiang; Arebi, Peyman",A temporal federated learning of neural network for enhancing controllability temporal network robustness on federated social internet of things networks,Journal of Big Data,2025,13,1,,10.1186/s40537-025-01338-9,2196-1115,,http://dx.doi.org/10.1186/s40537-025-01338-9,Springer Science and Business Media LLC
226ZBILB,journalArticle,"Yang, Ming; Ren, Jianyu; Zeng, Lukun; Yang, Xiaohua; Li, Sheng; Ai, Yuan; Zheng, Kaihong",Federated two-edge graph attention network with weighted global aggregation for electricity consumption demand forecasting,Scientific Reports,2025,15,1,,10.1038/s41598-025-28610-5,2045-2322,,http://dx.doi.org/10.1038/s41598-025-28610-5,Springer Science and Business Media LLC
2K222BF2,journalArticle,"Wu, Zhengliang",Personalized skill transfer optimization in swimming training through multi-agent reinforcement learning driven digital twin environments,Scientific Reports,2026,16,1,,10.1038/s41598-026-35877-9,2045-2322,,http://dx.doi.org/10.1038/s41598-026-35877-9,Springer Science and Business Media LLC
2GCYNV6C,journalArticle,"Wang, Zheng; Zhao, Liutao; Meng, Fanyin; Zhu, Zhongshan; Lu, Yiqing",Secure multi-party test case data generation through generative adversarial networks,Scientific Reports,2026,16,1,,10.1038/s41598-026-35773-2,2045-2322,,http://dx.doi.org/10.1038/s41598-026-35773-2,Springer Science and Business Media LLC
28RKEIJJ,journalArticle,"Tan, Zhizhong; Liu, Siyang; Liu, Qiang; Hu, Min; Zhang, Xiang; Wang, Wenyong; Liu, Bin",Modeling ESG-driven industrial value chain dynamics using directed graph neural networks,Financial Innovation,2025,11,1,,10.1186/s40854-025-00783-y,2199-4730,,http://dx.doi.org/10.1186/s40854-025-00783-y,Springer Science and Business Media LLC
2KVEST95,journalArticle,"Salhi, Amina; Algarni, Fahad; Alshamrani, Rayan; Althbiti, Ashrf; Ismail, Atef; Hassan, Basma M.",Leveraging artificial intelligence to enable sustainable urban development through the creation of smart and environmentally friendly carbon-free cities,Scientific Reports,2025,15,1,,10.1038/s41598-025-16801-z,2045-2322,,http://dx.doi.org/10.1038/s41598-025-16801-z,Springer Science and Business Media LLC
2KH8ADQR,journalArticle,"Saritha, M.; Malgireddy, Saidireddy",A novel integration of multi-stocked gated variant recurrent units and Kolmogorov-Arnold tuned deep training networks for anchoring the intrusion detection against computer attacks,Discover Computing,2025,28,1,,10.1007/s10791-025-09678-z,2948-2992,,http://dx.doi.org/10.1007/s10791-025-09678-z,Springer Science and Business Media LLC
2X9JMHT4,journalArticle,"Nithish, Chelli; Rajesh, T.; Bhagyalaxmi, D.; Aravind, Rendla; Anshuman, Gillala; Yadav, P. Rithin",CPAC-Net: deep learning approach for cyber-physical attack classification in secure water treatment data,Journal of Umm Al-Qura University for Engineering and Architecture,2025,16,4,1354–1372,10.1007/s43995-025-00171-8,1658-8150,,http://dx.doi.org/10.1007/s43995-025-00171-8,Springer Science and Business Media LLC
2WRYVG65,journalArticle,"Liu, Guangyi; Deng, Juan; Zhu, Yanhong; Li, Na; Han, Boxiao; Wang, Shoufeng; Rui, Hua; Wang, Jingyu; Zhang, Jianhua; Cui, Ying; Cui, Yingping; Yang, Yang; Zhang, Yan; Wang, Jiangzhou; Ouyang, Ye; Ye, Xiaozhou; Chen, Tao; Li, Rongpeng; Zhu, Yongdong; Zhang, Yuanyuan; Yang, Li; Bian, Sen; Sun, Wanfei; Zheng, Qingbi; Tong, Zhou; Zhang, Huimin; Shao, Zecai; Wu, Jiajun; Kang, Mancong",6G autonomous radio access network empowered by artificial intelligence and network digital twin,Frontiers of Information Technology &amp; Electronic Engineering,2024,26,2,161–213,10.1631/fitee.2400569,2095-9230,,http://dx.doi.org/10.1631/FITEE.2400569,Zhejiang University Press
24V2YD2Y,journalArticle,"Li, Weiqi",A hybrid spiking convolutional neural framework with extreme learning machine for enhanced anomaly detection in network security,Scientific Reports,2026,16,1,,10.1038/s41598-026-46811-4,2045-2322,,http://dx.doi.org/10.1038/s41598-026-46811-4,Springer Science and Business Media LLC
24DNM3JB,journalArticle,"Lilhore, Umesh Kumar; Simaiya, Sarita; Alroobaea, Roobaea; Baqasah, Abdullah M.; Alsafyani, Majed; Alhazmi, Afnan; Khan, Md Monish",SmartTrust: a hybrid deep learning framework for real-time threat detection in cloud environments using Zero-Trust Architecture,Journal of Cloud Computing,2025,14,1,,10.1186/s13677-025-00764-7,2192-113X,,http://dx.doi.org/10.1186/s13677-025-00764-7,Springer Science and Business Media LLC
29J3VEGY,journalArticle,"Khan, Rahim; Taj, Sher; Ma, Xuefei; Noor, Alam; Zhu, Haifeng; Khan, Javed; Khan, Zahid Ullah; Khan, Sajid Ullah",Advanced federated ensemble internet of learning approach for cloud based medical healthcare monitoring system,Scientific Reports,2024,14,1,,10.1038/s41598-024-77196-x,2045-2322,,http://dx.doi.org/10.1038/s41598-024-77196-x,Springer Science and Business Media LLC
23VN6EMY,journalArticle,"Khraisat, Ansam; Alazab, Ammar; Alazab, Moutaz; Obeidat, Areej; Singh, Sarabjot; Jan, Tony",Federated learning for intrusion detection in IoT environments: a privacy-preserving strategy,Discover Internet of Things,2025,5,1,,10.1007/s43926-025-00169-7,2730-7239,,http://dx.doi.org/10.1007/s43926-025-00169-7,Springer Science and Business Media LLC
2MH2XYMV,journalArticle,"Gish, Charles; Villalba-Diez, Javier; Ordieres-Mere, Joaquin",A Brain-Inspired Model for Efficient Graph Learning in Human Cyber Physical Networks,Cognitive Computation,2026,18,1,,10.1007/s12559-026-10574-x,1866-9964,,http://dx.doi.org/10.1007/s12559-026-10574-x,Springer Science and Business Media LLC
357F638V,journalArticle,"Gaffet, Alexandre; Ribot, Pauline; Chanthery, Elodie; Merle, Christophe",Multi-block local outlier factor anomaly detection of complex industrial systems,Applied Intelligence,2025,55,10,,10.1007/s10489-025-06603-1,1573-7497,,http://dx.doi.org/10.1007/s10489-025-06603-1,Springer Science and Business Media LLC
2XJUL2WR,journalArticle,"Ganesh, S. Sankar; Abdelhaq, Maha; Palanisamy, SatheeshKumar; Janakiraman, S.",VARNet-6G with FIERO model for anomaly detection and enhancing network stability in future-ready communication systems,Scientific Reports,2025,15,1,,10.1038/s41598-025-17268-8,2045-2322,,http://dx.doi.org/10.1038/s41598-025-17268-8,Springer Science and Business Media LLC
2HD3ZH2M,journalArticle,"Chiranjeevi, Modukuri; Chavan, Ameet",Adversarial Error Mitigation Technique for Sensor Fusion Framework on Dynamic Edge Computing Platform,Arabian Journal for Science and Engineering,2025,51,5,6347–6365,10.1007/s13369-025-10671-3,2191-4281,,http://dx.doi.org/10.1007/s13369-025-10671-3,Springer Science and Business Media LLC
2XJ7KU9A,journalArticle,"Chen, Zhongbo",A hybrid evaluation model for intelligent manufacturing under uncertainties by integrating human-machine systems and automation strategies,Scientific Reports,2026,16,1,,10.1038/s41598-026-45749-x,2045-2322,,http://dx.doi.org/10.1038/s41598-026-45749-x,Springer Science and Business Media LLC
2X2PAS8V,journalArticle,"Baek, Yongmin; Bae, Byungjoon; Shin, Hyojin; Sonnadara, Charana; Cho, Haein; Lin, Ching-Yi; Mu, Yujia; Shen, Cong; Shah, Sahil; Wang, Gunuk; Lee, Kyusang",Edge intelligence through in-sensor and near-sensor computing for the artificial intelligence of things,npj Unconventional Computing,2025,2,1,,10.1038/s44335-025-00040-6,3004-8672,,http://dx.doi.org/10.1038/s44335-025-00040-6,Springer Science and Business Media LLC
2NWKUL9L,journalArticle,"Chaurasia, Nisha; Ram, Munna; Verma, Priyanka; Mehta, Nakul; Bharot, Nitesh",A federated learning approach to network intrusion detection using residual networks in industrial IoT networks,The Journal of Supercomputing,2024,80,13,18325–18346,10.1007/s11227-024-06153-2,1573-0484,,http://dx.doi.org/10.1007/s11227-024-06153-2,Springer Science and Business Media LLC
32WN6AM2,journalArticle,"Alnemari, Ashwaq M.; Elmessery, Wael M.; Szűcs, Péter; Eid, Mohamed Hamdy; Omar, Wael Abdel-Moneim; Ahmed, Atef Fathy; Elwakeel, Abdallah Elshawadfy",Enhanced transfer learning and federated intelligence for cross-species adaptability in intelligent recirculating aquaculture systems,Aquaculture International,2025,33,6,,10.1007/s10499-025-02212-4,1573-143X,,http://dx.doi.org/10.1007/s10499-025-02212-4,Springer Science and Business Media LLC
24GLW4ND,journalArticle,"Ashraf, Mahmoud; Eltawil, Amr; Ali, Islam",Disruption detection for a cognitive digital supply chain twin using hybrid deep learning,Operational Research,2024,24,2,,10.1007/s12351-024-00831-y,1866-1505,,http://dx.doi.org/10.1007/s12351-024-00831-y,Springer Science and Business Media LLC
37CMCIVF,journalArticle,"AL-Naday, Mays; Dobre, Vlad; Reed, Martin; Toor, Salman; Volckaert, Bruno; De Turck, Filip",Federated deep Q-learning networks for service-based anomaly detection and classification in edge-to-cloud ecosystems,Annals of Telecommunications,2023,79,3-4,165–178,10.1007/s12243-023-00977-4,1958-9395,,http://dx.doi.org/10.1007/s12243-023-00977-4,Springer Science and Business Media LLC
2VJLTSZ3,journalArticle,"Abu-Shaira, Mohammad; Shi, Weishi",OLR-WAA: Adaptive and Drift-Resilient Online Regression with Dynamic Weighted Averaging,Data Science and Engineering,2025,11,1,116–142,10.1007/s41019-025-00312-y,2364-1541,,http://dx.doi.org/10.1007/s41019-025-00312-y,Springer Science and Business Media LLC
264GPP7U,journalArticle,"Ahamed, N. Nasurudeen; Murugan, Thangavel","Research advances in DNA cryptography: integration with cloud computing, internet of things, and DNA computing",Discover Applied Sciences,2026,8,6,,10.1007/s42452-026-08554-9,3004-9261,,http://dx.doi.org/10.1007/s42452-026-08554-9,Springer Science and Business Media LLC
2Y55ZF6B,journalArticle,"Nguyen, T.-X.-H.; Dao, T.-K.; Nguyen, T.-D.; Nguyen, T.-T.; Ngo, T.-G.",AI-Driven Security Solutions for Industrial IoT: Challenges and Future Directions,Journal of Information Hiding and Multimedia Signal Processing,2025,16,2,1002–1011,,,,https://www.scopus.com/pages/publications/105021962493?origin=resultslist,
2TX8U9DR,journalArticle,"Tulaskar, D.P.; Sindhu, B.; Chakole, N.; Parteki, R.; Leema, A.A.; Balakrishnan, P.; Avthanka, A.; Girhe, R.; Kulkarni, M.B.; Bhaiyya, M.","AI and ML empowering 5G and shaping the 6G future: Models, metrics, architectures, and applications",ICT Express,2026,12,1,111–135,10.1016/j.icte.2025.11.024,,,https://www.scopus.com/pages/publications/105025143811?origin=resultslist,
2T49YMK6,conferencePaper,"Wang, N.; Sajjanhar, A.; Xiang, Y.; Gao, L.",A Robust NFT Assisted Knowledge Distillation Framework for Edge Computing,,2023,489 LNICST,,20–31,10.1007/978-3-031-33458-0_2,,,https://www.scopus.com/pages/publications/85164673606?origin=resultslist,
2MSM8GRC,journalArticle,"Grefen, P.; Vanderfeesten, I.; Wilbik, A.; Comuzzi, M.; Ludwig, H.; Serral, E.; Kuitems, F.; Blanken, M.; Pietrasik, M.",Towards Customer Outcome Management in Smart Manufacturing,Machines,2023,11,6,,10.3390/machines11060636,,,https://www.scopus.com/pages/publications/85163836750?origin=resultslist,
2XKF3RWQ,conferencePaper,"Cai, T.; Li, X.; Chen, W.; Wei, Z.; Ye, Z.",Blockchain-Based Federated Learning for IoT Sharing: Incentive Scheme with Reputation Mechanism,,2024,1896 CCIS,,270–284,10.1007/978-981-99-8101-4_19,,,https://www.scopus.com/pages/publications/85178642458?origin=resultslist,
3KAIZA5P,journalArticle,"Zhang, J.; Wang, Y.; Zhu, K.; Zhang, Y.; Li, Y.",Diagnosis of Interturn Short-Circuit Faults in Permanent Magnet Synchronous Motors Based on Few-Shot Learning under a Federated Learning Framework,IEEE Transactions on Industrial Informatics,2021,17,12,8495–8504,10.1109/TII.2021.3067915,,,https://www.scopus.com/pages/publications/85103234257?origin=resultslist,
48UIHVFJ,conferencePaper,"Jiang, J.; Shi, S.; Li, Y.; Wang, F.; Zhang, Y.",Hierarchical Semi-Asynchronous Federated Learning Based on Over-the-Air Computation,,2023,,,73–78,10.1109/ICAIT59485.2023.10367298,,,https://www.scopus.com/pages/publications/85182952143?origin=resultslist,
4GDX64AJ,journalArticle,"Fan, J.; Tan, S.; Gu, H.; Wang, Z.; Lü, J.",Federated anomaly detection based on collaborative pre-trained generative models in smart manufacturing,Journal of the Franklin Institute,2025,362,16,,10.1016/j.jfranklin.2025.108094,,,https://www.scopus.com/pages/publications/105017850389?origin=resultslist,
3GFG46MS,journalArticle,H. Zhao; Q. Liu; H. Sun; L. Xu; W. Zhang; Y. Zhao; F. -Y. Wang,Community Awareness Personalized Federated Learning for Defect Detection,IEEE Transactions on Computational Social Systems,2024,11,6,8064–8077,10.1109/TCSS.2024.3405556,2329-924X,,,
3XX42HSH,conferencePaper,A. Z. U. Rahat; A. Das; A. Dey,Towards Decentralizing the Fashion Industry: A Blockchain-Integrated System to Mitigate Dual Pricing of Branded Apparel,"2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)",2025,,,1–6,10.1109/QPAIN66474.2025.11171920,,,,
3JNBH44M,journalArticle,"Al-Shamasneh, A.R.; Karim, F.K.; Wang, Y.",Optimizing resource allocation in industrial IoT with federated machine learning and edge computing integration,Results in Engineering,2025,27,,,10.1016/j.rineng.2025.106387,,,https://www.scopus.com/pages/publications/105012090552?origin=resultslist,
3KFSY2GU,journalArticle,"Zheng, K.; Yang, H.; Lei, L.; Mei, J.; Wu, B.",AI-Driven Resource Management for Heterogeneous Industrial IoT: Challenges and Opportunities,IEEE Open Journal of the Communications Society,2025,6,,10269–10286,10.1109/OJCOMS.2025.3640688,,,https://www.scopus.com/pages/publications/105024135715?origin=resultslist,
3L2Q2PAL,journalArticle,"Rahmati, Milad; Rahmati, Nima",Bandwidth-aware federated reinforcement learning for real-time multi-agent autonomous systems under dynamic environments,Journal of Electrical Systems and Information Technology,2026,13,1,,10.1186/s43067-026-00323-3,2314-7172,,http://dx.doi.org/10.1186/s43067-026-00323-3,Springer Science and Business Media LLC
3D763AVG,conferencePaper,S. Singhatia; M. Dhingra,Developing an Advanced Cross layer Distributed Model for Enhanced Attack Detection Model,"2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)",2025,,,1–6,10.1109/ICRTEECT67512.2025.11448871,,,,
37H9BF86,conferencePaper,"Luqman, A.; Mahesh, R.; Chattopadhyay, A.",Efficient Model Propagation for Peer-to-Peer Federated Learning using Minimum Spanning Tree and Gossip Networks,,2025,,,,10.1145/3709023.3737694,,,https://www.scopus.com/pages/publications/105016576204?origin=resultslist,
4FPGZMH3,journalArticle,"Haseeb, S.; Javed, S.; Mokayed, H.; Martin-del-Campo, S.; Sandin, F.; Liwicki, M.; Delsing, J.",Local Cloud-Based Collaborative Learning vs Other IIoT Decentralized AI Solutions: A Systematic Literature Review,Journal of Network and Systems Management,2026,34,2,,10.1007/s10922-025-10029-y,,,https://www.scopus.com/pages/publications/105030028851?origin=resultslist,
3V495KCY,journalArticle,"Rejeb, Abderahman; Rejeb, Karim; Simske, Steve; Süle, Edit",Industry 5.0 research: an approach using co-word analysis and BERTopic modeling,Discover Sustainability,2025,6,1,,10.1007/s43621-025-01252-3,2662-9984,,http://dx.doi.org/10.1007/s43621-025-01252-3,Springer Science and Business Media LLC
3SEVF3Q5,journalArticle,"Nandakishora, Yerumbu; Khayum, Naseem; Patra, Chandan; Kumar, Prashant; Sharma, Abhishek; Ansu, Alok Kumar",AI driven approaches in battery thermal management systems for prediction and multi objective optimization: a comprehensive literature review,Discover Mechanical Engineering,2026,5,1,,10.1007/s44245-026-00231-w,2731-6564,,http://dx.doi.org/10.1007/s44245-026-00231-w,Springer Science and Business Media LLC
3MKWPQ9A,journalArticle,"Mavai, Ajay Singh; Mishra, Devendra Kumar; Sharma, Abhishek; Bansal, Sulabh",Role of big data analysis to improve the efficiency of healthcare system using machine learning techniques,Discover Internet of Things,2025,5,1,,10.1007/s43926-025-00225-2,2730-7239,,http://dx.doi.org/10.1007/s43926-025-00225-2,Springer Science and Business Media LLC
4KRI39WG,journalArticle,"Cui, Qimei; You, Xiaohu; Wei, Ni; Nan, Guoshun; Zhang, Xuefei; Zhang, Jianhua; Lyu, Xinchen; Ai, Ming; Tao, Xiaofeng; Feng, Zhiyong; Zhang, Ping; Wu, Qingqing; Tao, Meixia; Huang, Yongming; Huang, Chongwen; Liu, Guangyi; Peng, Chenghui; Pan, Zhiwen; Sun, Tao; Niyato, Dusit; Chen, Tao; Khan, Muhammad Khurram; Jamalipour, Abbas; Guizani, Mohsen; Yuen, Chau","Overview of AI and communication for 6G network: fundamentals, challenges, and future research opportunities",Science China Information Sciences,2025,68,7,,10.1007/s11432-024-4337-1,1869-1919,,http://dx.doi.org/10.1007/s11432-024-4337-1,Springer Science and Business Media LLC
3NR3BL4V,journalArticle,"Hassan, Syed Rizwan; Hassan, Ayesha; Maqsood, Aysha; Hijab, Shaham",A survey on intelligent secure and distributed frameworks for Healthcare 5.0,Discover Artificial Intelligence,2025,5,1,,10.1007/s44163-025-00572-7,2731-0809,,http://dx.doi.org/10.1007/s44163-025-00572-7,Springer Science and Business Media LLC
3NQATZ2K,journalArticle,"Buyukbicakci, Erdal","Sustainable Electrical Machine Technologies: A Comprehensive Review of Materials, Designs, and Integration Strategies for Future Energy Systems",Archives of Computational Methods in Engineering,2026,33,3,4533–4565,10.1007/s11831-026-10526-6,1886-1784,,http://dx.doi.org/10.1007/s11831-026-10526-6,Springer Science and Business Media LLC
39JIYCGS,journalArticle,"El-Agamy, Rasha F.; Sayed, Hanaa A.; AL Akhatatneh, Arwa M.; Aljohani, Mansourah; Elhosseini, Mostafa",Comprehensive analysis of digital twins in smart cities: a 4200-paper bibliometric study,Artificial Intelligence Review,2024,57,6,,10.1007/s10462-024-10781-8,1573-7462,,http://dx.doi.org/10.1007/s10462-024-10781-8,Springer Science and Business Media LLC
48ZYDTJZ,journalArticle,"Zhang, Hao; Xu, Huahu; Shi, Jiangang; Lin, Xinhua; Gao, Yiqin; Huang, Yuzhe",Optimized edge weighting in graph neural networks for server performance anomaly detection,Complex &amp; Intelligent Systems,2025,11,10,,10.1007/s40747-025-02069-3,2198-6053,,http://dx.doi.org/10.1007/s40747-025-02069-3,Springer Science and Business Media LLC
4BAKJUXV,journalArticle,"Weinberg, Abraham Itzhak",The role and applications of airport digital twin in cyberattack protection during the generative AI era,Discover Artificial Intelligence,2026,6,1,,10.1007/s44163-026-00916-x,2731-0809,,http://dx.doi.org/10.1007/s44163-026-00916-x,Springer Science and Business Media LLC
3NA4HRIP,journalArticle,"Xu, Yifan; Zhu, Xin; Bai, Yuhao; Chen, Ziliang; Sun, Meng",A dynamic lightweight blockchain sharding protocol for autonomous collaborative combat of UAV swarms in denied environments,Scientific Reports,2025,15,1,,10.1038/s41598-025-20359-1,2045-2322,,http://dx.doi.org/10.1038/s41598-025-20359-1,Springer Science and Business Media LLC
3N52CEQW,journalArticle,"Shahar, Farah Syazwani; Sultan, Mohamed Tariq Hameed; Nowakowski, Marek; Łukaszewicz, Andrzej",UGV-UAV Integration Advancements for Coordinated Missions: A Review,Journal of Intelligent &amp; Robotic Systems,2025,111,2,,10.1007/s10846-025-02273-w,1573-0409,,http://dx.doi.org/10.1007/s10846-025-02273-w,Springer Science and Business Media LLC
3J4WCN7B,journalArticle,"Sirisha, Aswadhati.; Sri, Kurra. Santhi",Cluster head based dual level node authentication model with node pattern analysis for intrusion detection in wireless sensor networks using machine learning,Discover Computing,2026,29,1,,10.1007/s10791-026-09948-4,2948-2992,,http://dx.doi.org/10.1007/s10791-026-09948-4,Springer Science and Business Media LLC
